Minion/Game,KDA,Death/Lose,Damage to Champion,GoldSpent/Assist,Minions/Assist,Wards Placed,DamageChampion/Kill,Kill/Game,WardsPlaced/Game,Kill/Win,Minions/Kill,WardsPlaced/Win,GoldSpent/Kill,Deaths,Wards/Assist,Assist/Win,Gold Earned,Wins,GoldEarned/Game,Win/Game,Minion/Win,Kills,Assist/Game,DamageChampion/Win,DamageChampion/Assist,Role,DamageChampion/Game,Assists,Games,Damage Taken,Gold Spent,DamageTaken/Lose,Minions Killed,Wards/Kill,DamageTaken/Death,Death/Game,GoldSpent/Game,GoldSpent/Win,Champion Name,Loses
" 148,728723404"," 2,004123711"," 8,981481481",2931237," 1944,523900574"," 26,731357553",1883," 3264,183741648"," 4,776595745"," 10,015957447"," 11,225"," 31,136971047"," 23,5375"," 2265,002227171",970," 1,800191205"," 13,075",2193205,80," 11665,984042553"," 0,425531915"," 349,5125",898," 5,563829787"," 36640,4625"," 2802,329827916",TOP," 15591,686170213",1046,188,5504094,2033972," 50963,833333333",27961," 2,09688196"," 5674,32371134"," 5,159574468"," 10819,0"," 25424,65",Aatrox,108
" 181,087837838"," 2,757849718"," 10,061002179",81006509," 1520,598247855"," 25,43624749",42756," 3440,058985901"," 6,11954262"," 11,111226611"," 11,703777336"," 29,591727535"," 21,250497018"," 1769,016009852",18472," 1,56072276"," 13,615805169",45571341,2012," 11842,864085239"," 0,522869023"," 346,33499006",23548," 7,119282744"," 40261,684393638"," 2956,981529476",MIDDLE," 21051,587577963",27395,3848,69908130,41656789," 38076,323529412",696826," 1,8156956"," 3784,545799047"," 4,8004158"," 10825,568866944"," 20704,169483101",Ahri,1836
" 157,293506494"," 2,11423221"," 13,095367847",14614532," 2051,751705653"," 29,511695906",7417," 2412,833415882"," 7,866233766"," 9,632467532"," 15,029776675"," 19,996037642"," 18,404466501"," 1390,191348853",4806," 1,807261209"," 10,183622829",9155215,403," 11889,88961039"," 0,523376623"," 300,535980149",6057," 5,32987013"," 36264,347394541"," 3561,045808967",MIDDLE," 18979,911688312",4104,770,20133319,8420389," 54859,179836512",121116," 1,224533597"," 4189,204952143"," 6,241558442"," 10935,57012987"," 20894,265508685",Akali,367
" 38,440654843"," 2,990105133"," 9,287484885",39353790," 608,577885313"," 3,06790467",172750," 4275,262357414"," 1,395331211"," 26,186145218"," 2,798723016"," 27,549483976"," 52,523563393"," 5464,969907659",30723," 2,089886281"," 25,132259045",55937149,3289," 8479,179778687"," 0,498559951"," 77,103374886",9205," 12,529937851"," 11965,275159623"," 476,092305831",SUPPORT," 5965,407003183",82660,6597,160687525,50305048," 48575,430773881",253593," 18,76697447"," 5230,202942421"," 4,657116871"," 7625,443080188"," 15294,937062937",Alistar,3308
" 48,149521531"," 2,779986292"," 10,085253456",12930756," 1040,890562485"," 4,736761591",9264," 3523,366757493"," 4,389952153"," 11,081339713"," 9,129353234"," 10,968119891"," 23,044776119"," 2410,214713896",4377," 1,090138856"," 21,139303483",9540885,402," 11412,541866029"," 0,480861244"," 100,131840796",3670," 10,16507177"," 32166,059701493"," 1521,62344081",JUNGLE," 15467,411483254",8498,836,25712452,8845488," 59245,281105991",40253," 2,524250681"," 5874,446424492"," 5,235645933"," 10580,727272727"," 22003,701492537",Amumu,434
" 183,920392585"," 2,817242249"," 8,671038251",36710962," 1592,186912099"," 27,352416477",21124," 3663,768662675"," 5,46346783"," 11,517993457"," 10,903155604"," 33,663672655"," 22,985854189"," 1959,565768463",7934," 1,71294194"," 13,418933624",21721397,919," 11843,727917121"," 0,501090513"," 367,040261153",10020," 6,724100327"," 39946,639825898"," 2976,886312034",MIDDLE," 20016,882224646",12332,1834,42602463,19634849," 46560,068852459",337310," 2,108183633"," 5369,607133854"," 4,32606325"," 10706,024536532"," 21365,450489663",Anivia,915
" 144,487414188"," 2,385425184"," 11,233065442",32878686," 1366,232880868"," 19,152498673",22740," 3238,641252955"," 5,80778032"," 13,009153318"," 11,575826682"," 24,878250591"," 25,929304447"," 1774,676221434",9784," 1,724425571"," 15,036488027",19743093,877," 11294,675629291"," 0,501716247"," 287,98631699",10152," 7,544050343"," 37489,949828962"," 2493,265033745",MIDDLE," 18809,316933638",13187,1748,29789670,18016513," 34201,68771527",252564," 2,239952719"," 3044,733237939"," 5,597254005"," 10306,929633867"," 20543,344355758",Annie,871
" 194,094165353"," 2,417499381"," 11,36461755",86007548," 1404,227574609"," 24,558447111",39238," 3665,510910331"," 5,285875197"," 8,839378238"," 10,166377816"," 36,719399932"," 17,000866551"," 2099,57875895",24218," 1,118433429"," 15,200606586",54144467,2308," 12197,446947511"," 0,519936923"," 373,303292894",23464," 7,903356612"," 37264,968804159"," 2451,544850782",ADC," 19375,433205677",35083,4439,73147638,49264516," 34325,498826842",861584," 1,672263894"," 3020,383103477"," 5,455733273"," 11098,111286326"," 21345,110918544",Ashe,2131
" 172,8091354"," 2,847511027"," 11,020833333",25841234," 1283,149858991"," 20,603325878",13932," 3315,954574618"," 6,356443719"," 11,363784666"," 11,989230769"," 27,186449378"," 21,433846154"," 1693,138714231",6348," 1,354857532"," 15,82",14408730,650," 11752,634584013"," 0,530179445"," 325,944615385",7793," 8,387438825"," 39755,744615385"," 2513,005348634",MIDDLE," 21077,67862969",10283,1226,28119575,13194630," 48818,706597222",211864," 1,787758245"," 4429,674700693"," 5,177814029"," 10762,340946166"," 20299,430769231",Aurelion Sol,576
" 197,589397742"," 2,149208608"," 10,119376125",70289746," 1768,915300685"," 31,967267191",34712," 4247,114561934"," 5,191342535"," 10,888331242"," 10,880999343"," 38,061329305"," 22,821827745"," 2106,131480363",16869," 1,761583354"," 12,955292571",37970392,1521," 11910,411543287"," 0,477101631"," 414,145299145",16550," 6,180991217"," 46212,850756082"," 3567,102055316",MIDDLE," 22048,226474279",19705,3188,59329571,34856476," 35590,624475105",629915," 2,097401813"," 3517,076945877"," 5,29140527"," 10933,649937265"," 22916,815253123",Azir,1667
